variant,reasoning_combo,F0.5_mean,F0.5_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std,Prec_mean,Prec_std,Rec_mean,Rec_std,Acc_mean,Acc_std,threshold_tuning,cv_folds,dataset_size
full_mirror_rule,A+B+E,0.28022308541557767,0.028377374933428637,0.7130225056150982,0.044008623612641205,0.20628619658234904,0.0318222973263474,0.2966243075920495,0.031008837041242104,0.22962962962962963,0.02152542688168234,0.8815555555555555,0.00479711847664953,oof,5,4500
full_mirror_rule,A+C+D,0.2686421642715862,0.03790174078655506,0.7088077902892718,0.04522712691899651,0.2026755361209775,0.030386089323057888,0.26629889364120407,0.03804665795274517,0.27901234567901234,0.03872688183051388,0.8657777777777778,0.007993824777157767,oof,5,4500
full_mirror_rule,A+C+E,0.2759556013050704,0.028698613301287194,0.7139495620977102,0.044805892184145386,0.2057971045520483,0.03200710154415221,0.28287353246571245,0.031928209263173545,0.2518518518518518,0.02005935408552089,0.8748888888888888,0.00619039478985964,oof,5,4500
full_mirror_rule,A+D+E,0.2766777495815744,0.038481662146532876,0.7133692096655059,0.042892223567455444,0.20668299224160144,0.031524846304461264,0.273417121312003,0.04034573131411886,0.29135802469135796,0.03275678805289284,0.866,0.009232256923484882,oof,5,4500
full_mirror_rule,B+C+D,0.2285944054144681,0.05803964113412969,0.6758045795082832,0.04514874878368321,0.17987005758779717,0.026394057208000987,0.289369918699187,0.07723863900961508,0.1259259259259259,0.03162036660460665,0.8931111111111111,0.006863753427324681,oof,5,4500
full_mirror_rule,B+C+E,0.23488559596351982,0.030615647112693118,0.6837094318575799,0.04802638830371622,0.18378837653654778,0.028505117086781145,0.24521296212954305,0.03625100239298135,0.20246913580246914,0.01847732042851329,0.8713333333333333,0.008326663997864543,oof,5,4500
full_mirror_rule,B+D+E,0.2367078743971586,0.03589030494013302,0.6851143369661887,0.046117681889520916,0.184683512196221,0.02764180586448413,0.2708895906871503,0.04317866801403392,0.1580246913580247,0.023939159789710264,0.8857777777777777,0.005038126243890954,oof,5,4500
full_mirror_rule,C+D+E,0.23341619410979844,0.03314230338264373,0.6844706733595622,0.04969292718579951,0.18500637994756086,0.02938320039955161,0.24327700125755047,0.03730210608157835,0.20246913580246914,0.02542130899009136,0.8708888888888889,0.008473633762194482,oof,5,4500
full_mirror_rule,C+D+F,0.24471760812438498,0.025787282394592746,0.6961108849997739,0.040622681097036054,0.19184654132758977,0.023235406542532706,0.24247987024678638,0.029182941858665875,0.2567901234567901,0.022630003431880694,0.86,0.010134892667547852,oof,5,4500
full_mirror_rule,C+E+F,0.252946128339279,0.0222029926519902,0.7041167337463634,0.043804338073615355,0.19588795516433383,0.025363562508284865,0.26316085953767115,0.03137529040555405,0.22222222222222224,0.01104231099999896,0.8728888888888889,0.009124651185621254,oof,5,4500
full_mirror_rule,D+E+F,0.256902164643416,0.023193813609245783,0.7027932287191545,0.04039827807682098,0.1956126444151849,0.025003757476702405,0.2608934169278997,0.029178225013223553,0.2444444444444444,0.009238660214256645,0.8686666666666667,0.009464684195131941,oof,5,4500
full_mirror_rule,A+B+C+D,0.26866326512197597,0.03129525928819895,0.709528331750554,0.04521160966177091,0.20251911104919876,0.03064086710194089,0.2675666415745369,0.03233665713146735,0.2740740740740741,0.03064116949627372,0.8668888888888888,0.007350149070462782,oof,5,4500
full_mirror_rule,A+B+C+E,0.27663985979371014,0.04312803195730318,0.7137430470763804,0.04609832240373667,0.2061590332596502,0.03194710281964158,0.26761391246713534,0.04370171108271495,0.32098765432098764,0.04204786757018864,0.8591111111111109,0.011619481299912318,oof,5,4500
full_mirror_rule,A+B+D+E,0.27404471011664255,0.027615601684401584,0.7130119537526944,0.04374420806483975,0.2057620620314536,0.031080494777965834,0.28798631923631923,0.029191529525336556,0.22962962962962957,0.022897823445668403,0.8795555555555555,0.0042513614377131135,oof,5,4500
full_mirror_rule,A+C+D+E,0.2801969405081014,0.0407970548061867,0.7135455765085394,0.04558839971417469,0.20631998521491496,0.03189099523236933,0.27658719324212155,0.04235817069734637,0.2962962962962963,0.03578117715108503,0.8664444444444444,0.009306840707276413,oof,5,4500
full_mirror_rule,B+C+D+E,0.23523913112774072,0.04479510958577524,0.6854972188305523,0.049071367431451934,0.1846752655617787,0.02901479628337316,0.2784545170447147,0.05356456285076659,0.145679012345679,0.02858231334022278,0.8891111111111112,0.005135208892573911,oof,5,4500
full_mirror_rule,C+D+E+F,0.25731120632341764,0.03206913151605899,0.7025158654788285,0.04366559843628717,0.19578561019385968,0.02537688551416696,0.2585502745274074,0.039577399520437054,0.2567901234567901,0.01637839402644642,0.8651111111111112,0.012364824660660932,oof,5,4500
full_mirror_rule,A+B+C+D+E,0.2790644688022207,0.03145281669724758,0.7144093218167292,0.0459715400543543,0.2060381779059785,0.03188238102278037,0.28118013594240826,0.03428897721892731,0.2716049382716049,0.023424278964210215,0.8715555555555555,0.007221367470787525,oof,5,4500
