model_type,table,regression,set_id,reasoning_combo,variant,threshold_tuning,dataset_size,F0.5_mean,F0.5_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std,Prec_mean,Prec_std,Rec_mean,Rec_std,Acc_mean,Acc_std
logistic,Table 1,Human + Reasoning,,B+E,,oof,4400,0.2309413010101069,0.02771777322179558,0.6806709232130723,0.03478935762952228,0.181830224467667,0.017685957542973852,0.22182988095091338,0.027026566833110176,0.2802215189873417,0.042787103900763256,0.8463636363636364,0.01212026511452125
logistic,Table 1,Reasoning Only,,A+B+E,,oof,4400,0.21907191531268566,0.07971485767296514,0.6126146419280093,0.05237439293959078,0.16807341315722898,0.04285006486877514,0.2485734196313211,0.08908744947296696,0.1490822784810127,0.05645062274983984,0.8834090909090909,0.008761061485180164
logistic,Table 1,Human + Reasoning,,A+B+E,,oof,4400,0.27230483053322035,0.03510914383252634,0.7110440453438345,0.04430895348411537,0.22509783632206828,0.046114268795263404,0.2597656021241222,0.031482701402338845,0.33844936708860757,0.05937319474144439,0.8543181818181818,0.005251918185586981
logistic,Table 2,LLM Engineered Only,set_01,,,oof,4400,0.23196936899438741,0.01962291605088871,0.676484850794695,0.024376348535904414,0.17907971295181555,0.008696544742312684,0.23647833540397206,0.021325148788065667,0.21715189873417723,0.021541685720530373,0.8661363636363637,0.006718975226861115
logistic,Table 2,LLM Engineered + Reasoning,set_01,A,,oof,4400,0.27639415945059387,0.04709846769102494,0.7051742947403562,0.038584142315020484,0.21172415024714883,0.034608836715221955,0.3091834397656787,0.05204680413325335,0.19443037974683544,0.03534888035586241,0.8884090909090909,0.005987245396508867
logistic,Table 2,LLM Engineered + Reasoning,set_01,B,,oof,4400,0.22935592611999267,0.01893215269433998,0.6684642314442785,0.021601241381242385,0.17652189515333722,0.008342143078059291,0.22067965072988344,0.018672102589601565,0.27265822784810123,0.022524533083073638,0.8477272727272727,0.005794340356355428
logistic,Table 2,LLM Engineered + Reasoning,set_01,E,,oof,4400,0.22971319428763723,0.02353248051104446,0.6823341990431264,0.03592354607810282,0.18341624666375794,0.010398285986143063,0.20883170804345727,0.022093063783140042,0.38376582278481014,0.03358183951962059,0.8131818181818182,0.010674562332561255
logistic,Table 2,LLM Engineered + Reasoning,set_01,A+B,,oof,4400,0.27079884196766024,0.034579658097671044,0.7006097604458035,0.03562686663973076,0.21322211119234913,0.03513230947321153,0.2712858073412258,0.033903916527991865,0.27022151898734176,0.04291311934092718,0.8690909090909091,0.006363636363636375
logistic,Table 2,LLM Engineered + Reasoning,set_01,A+E,,oof,4400,0.29271132698975705,0.033766904443243956,0.7181497125823733,0.041396190587406616,0.2201913768990426,0.0415967232275281,0.3145903038897032,0.027232864743355036,0.2324367088607595,0.05141893840216875,0.885909090909091,0.003099586749314963
logistic,Table 2,LLM Engineered + Reasoning,set_01,B+E,,oof,4400,0.22487356321839078,0.02053741057570908,0.673178012724403,0.03308175659801338,0.17918871047132384,0.009031651710402147,0.23093269740328565,0.01917240621667081,0.20455696202531648,0.02709688741318411,0.8672727272727272,0.003830068078716518
logistic,Table 2,LLM Engineered + Reasoning,set_01,A+B+E,,oof,4400,0.2797594496340585,0.03644880357093053,0.7114126373382165,0.04017590417934859,0.2151299527714924,0.041292160608388084,0.28422254421756615,0.03173233046658699,0.2652848101265823,0.05596486554341412,0.8745454545454546,0.0032619772941835123
logistic,Table 2,LLM Engineered Only,set_02,,,oof,4400,0.2002604712918421,0.02597679436712021,0.6361615575714297,0.02771987284280871,0.16744179801084957,0.01673348237570885,0.21324614065180106,0.02934952348509342,0.16414556962025317,0.027744990352586502,0.8697727272727273,0.008993799517004259
logistic,Table 2,LLM Engineered + Reasoning,set_02,A,,oof,4400,0.26446279895668,0.040779140492500816,0.6683734454015156,0.04305429658136474,0.20302610608789026,0.032448216394305174,0.2756299438266651,0.03899934163208085,0.22977848101265827,0.04884997749471107,0.8768181818181819,0.0054069896606228594
logistic,Table 2,LLM Engineered + Reasoning,set_02,B,,oof,4400,0.1888914208336338,0.02390024301016572,0.624647015745745,0.02955971075575309,0.1616973699352223,0.01967673767704297,0.17860586364262,0.025168022382699266,0.250126582278481,0.03014253380483486,0.8272727272727274,0.01758979324626304
logistic,Table 2,LLM Engineered + Reasoning,set_02,E,,oof,4400,0.20062612851104739,0.020119242468460835,0.6429045498407844,0.047296884610074245,0.16949785566637604,0.02336452633903912,0.19381972695116262,0.02433973933641637,0.2399367088607595,0.018335214734031716,0.8390909090909091,0.019690266924809515
logistic,Table 2,LLM Engineered + Reasoning,set_02,A+B,,oof,4400,0.2391452925384272,0.048040895650102076,0.6607462439158331,0.03851976059190122,0.1995349994649898,0.02940474208135019,0.25620150394387986,0.04870876657269595,0.1893987341772152,0.04458432883675683,0.8781818181818182,0.004624315897585394
logistic,Table 2,LLM Engineered + Reasoning,set_02,A+E,,oof,4400,0.24683655089290077,0.03768966892267795,0.6846567444620254,0.04791369872259009,0.2101177177063914,0.03870896461057402,0.23607156272470675,0.033642808369570086,0.3057278481012658,0.0700939294724329,0.8493181818181817,0.008086566761207803
logistic,Table 2,LLM Engineered + Reasoning,set_02,B+E,,oof,4400,0.19722831830514334,0.024222127440997537,0.6337892127275637,0.04113620730570611,0.16429263815478068,0.02079073554371439,0.1907338989235541,0.028607792814955856,0.23487341772151898,0.0132887279307549,0.8381818181818181,0.021132697629287853
logistic,Table 2,LLM Engineered + Reasoning,set_02,A+B+E,,oof,4400,0.23950546316894852,0.03916350552418652,0.6767891168723036,0.04487232984287426,0.20309964404614483,0.03716636337227205,0.23010124947529226,0.03644307234314493,0.2880696202531645,0.05753610153887401,0.8495454545454544,0.009107938595233556
logistic,Table 2,LLM Engineered Only,set_03,,,oof,4400,0.2126839558055428,0.04670958036466913,0.6629578409454558,0.031803650352819665,0.17459187552367686,0.026567364174035785,0.27328585393101523,0.06686586819459511,0.11354430379746834,0.020503203387343294,0.8922727272727273,0.006718975226861114
logistic,Table 2,LLM Engineered + Reasoning,set_03,A,,oof,4400,0.2624993750730184,0.03866808741222523,0.6922535262735268,0.04537738461114207,0.20841484947806044,0.038497164542099276,0.2695795097992947,0.04257628491471281,0.239873417721519,0.0346890876102398,0.8724999999999999,0.008843216571974418
logistic,Table 2,LLM Engineered + Reasoning,set_03,B,,oof,4400,0.2020834369391848,0.02952681445573755,0.6551976887079443,0.03350940953683078,0.17050241183379747,0.027101818566508826,0.18577729559317008,0.02960978892548252,0.3156645569620253,0.02124028379056941,0.8109090909090909,0.022286637585693218
logistic,Table 2,LLM Engineered + Reasoning,set_03,E,,oof,4400,0.20891338118320432,0.04019671067311235,0.6670077536090171,0.04530181002659372,0.17704745531843016,0.03460541308835183,0.19423558301677424,0.03857011236361305,0.3004430379746835,0.04649362091482564,0.823409090909091,0.016080248137553377
logistic,Table 2,LLM Engineered + Reasoning,set_03,A+B,,oof,4400,0.24827104230156588,0.035236668060518,0.6886435264858799,0.04140919010551475,0.2062587155131085,0.03783310272477299,0.24842879150659475,0.03678742409974786,0.25,0.0378690513965863,0.864090909090909,0.00849160986012247
logistic,Table 2,LLM Engineered + Reasoning,set_03,A+E,,oof,4400,0.2651077907791084,0.044920085993748374,0.7047106998372288,0.047801190766752225,0.21407586140892548,0.04477809085188437,0.2788718939341833,0.04648736791362762,0.22224683544303797,0.04216961842932186,0.8784090909090908,0.006306562238868898
logistic,Table 2,LLM Engineered + Reasoning,set_03,B+E,,oof,4400,0.20155662334700772,0.037328709916957414,0.6606845283387853,0.0456792433363936,0.1723167396798085,0.031235094022809044,0.20818800699841092,0.04036444559358524,0.1816772151898734,0.03154928389889265,0.8627272727272727,0.013850589986538712
logistic,Table 2,LLM Engineered + Reasoning,set_03,A+B+E,,oof,4400,0.25383587708244904,0.03768427072827038,0.6991659931859305,0.04663184172468315,0.21042136555406338,0.04354541843609742,0.2982407175636212,0.05147609318619277,0.1616139240506329,0.02451655621414202,0.8895454545454546,0.006982859770789624
logistic,Table 2,LLM Engineered Only,set_04,,,oof,4400,0.22931148907052115,0.00555283152606653,0.6539293039554986,0.011529582455028884,0.17065325071931414,0.014687563562061677,0.22701012863875306,0.006675914681046225,0.23990506329113925,0.013918439605930396,0.8579545454545453,0.004712827580301741
logistic,Table 2,LLM Engineered + Reasoning,set_04,A,,oof,4400,0.27345845425334137,0.029788288789097363,0.6906132353594795,0.020684909078628244,0.20185532976307644,0.02164234779482022,0.27263237149981406,0.030113599663007067,0.28034810126582277,0.04510491783833568,0.8677272727272728,0.007826897889873922
logistic,Table 2,LLM Engineered + Reasoning,set_04,B,,oof,4400,0.22554313730858838,0.026905030745809445,0.644993492163672,0.018741416096068907,0.17065381523332385,0.01796613697545541,0.2292770416746015,0.029125133791215358,0.21212025316455696,0.02021446064488478,0.8645454545454545,0.006523954588366959
logistic,Table 2,LLM Engineered + Reasoning,set_04,E,,oof,4400,0.23909318079267533,0.01892157463447971,0.6563811176496153,0.018102753526376057,0.1788294628829514,0.02027490820735476,0.21996022701658915,0.01868955243105671,0.3686392405063291,0.023698369613121942,0.8247727272727273,0.01199173268933903
logistic,Table 2,LLM Engineered + Reasoning,set_04,A+B,,oof,4400,0.26234721042983955,0.031504667257984065,0.6857382359027087,0.016289022521537216,0.19800349736971184,0.01624964530683103,0.2623315250150693,0.03551815967806156,0.265126582278481,0.02744851409700774,0.8659090909090909,0.0095616745308921
logistic,Table 2,LLM Engineered + Reasoning,set_04,A+E,,oof,4400,0.26860122572902456,0.013308485717790391,0.7060495567743642,0.021385471983701783,0.20961839234956967,0.018746023399385536,0.2584600406056436,0.013306131648944137,0.3258227848101266,0.05487075315096332,0.8549999999999999,0.009738311493467548
logistic,Table 2,LLM Engineered + Reasoning,set_04,B+E,,oof,4400,0.228940090517764,0.019868178860644355,0.6469242475781856,0.01843053112691483,0.1738515224496195,0.020395829580297013,0.21906972854806944,0.019906577190391257,0.28022151898734177,0.02342841015048051,0.845,0.00738548945875997
logistic,Table 2,LLM Engineered + Reasoning,set_04,A+B+E,,oof,4400,0.2583415326352073,0.01337872274137446,0.6981797655521579,0.020977496994421613,0.20272196720472616,0.018544478086659676,0.2406827313508521,0.012122303734170529,0.3713291139240506,0.054148371595560366,0.8379545454545456,0.010380170224244771
logistic,Table 2,LLM Engineered Only,set_05,,,oof,4400,0.2356392897747678,0.02904363385631367,0.6655329697401587,0.03161778088680237,0.18515628136989465,0.021165488945050315,0.22985992625657464,0.029747133040899692,0.2626582278481013,0.026095605225428236,0.8538636363636364,0.008993799517004243
logistic,Table 2,LLM Engineered + Reasoning,set_05,A,,oof,4400,0.2687767276691107,0.05572715490972669,0.7033146460022281,0.02586908054557104,0.218352353191945,0.03234528754938754,0.282542465715126,0.06003402596552933,0.22724683544303798,0.0504966917615953,0.8781818181818182,0.009409200702038394
logistic,Table 2,LLM Engineered + Reasoning,set_05,B,,oof,4400,0.2322334530694369,0.04334120525640741,0.6654103378243572,0.03877917608978634,0.18691835513994945,0.029331942041438425,0.22773457162992047,0.04396658222323911,0.2525632911392405,0.04023649244736961,0.8550000000000001,0.010746900379578999
logistic,Table 2,LLM Engineered + Reasoning,set_05,E,,oof,4400,0.24621805695976198,0.028702571528173196,0.6787887126604009,0.04249975575499318,0.19172309045284544,0.029787006638864157,0.25314483224138223,0.03134221675781127,0.22474683544303797,0.02927883946871039,0.8699999999999999,0.008701904417762125
logistic,Table 2,LLM Engineered + Reasoning,set_05,A+B,,oof,4400,0.2673916707337671,0.03068221802013006,0.69980129923138,0.02424292053783669,0.21608656165958173,0.02919385605343799,0.2602038868020475,0.03157079465931444,0.30303797468354426,0.038424342014995796,0.8593181818181816,0.008606407376709735
logistic,Table 2,LLM Engineered + Reasoning,set_05,A+E,,oof,4400,0.28333485607986864,0.04780963850838931,0.7171631260963354,0.032354551351223206,0.22337181747311133,0.03250492159108036,0.2973289094979213,0.04748420451620848,0.24243670886075952,0.05799074593695642,0.8806818181818181,0.006508100483307426
logistic,Table 2,LLM Engineered + Reasoning,set_05,B+E,,oof,4400,0.2407073189452495,0.04071459530816167,0.66919656380375,0.040048392179429994,0.1867064263358739,0.030538739953019728,0.24767354317555118,0.045498663947100546,0.21968354430379744,0.032505037633558345,0.8684090909090909,0.012120265114521255
logistic,Table 2,LLM Engineered + Reasoning,set_05,A+B+E,,oof,4400,0.27470962829602996,0.04301160761503273,0.7101464409598761,0.02980933406960438,0.21823595866231044,0.032028736058347836,0.27999567506799183,0.041191570654209704,0.257626582278481,0.05543960598591134,0.8740909090909093,0.005900343175339634
logistic,Table 2,LLM Engineered Only,set_06,,,oof,4400,0.2340788618740687,0.01777496677775779,0.6666127228968142,0.03248739964636851,0.17868342076059912,0.019962137430517345,0.2555189255189255,0.027484506952664967,0.1793354430379747,0.02057585105241104,0.8781818181818182,0.00839372059664517
logistic,Table 2,LLM Engineered + Reasoning,set_06,A,,oof,4400,0.2766104930947789,0.058585203630862816,0.6976553227324624,0.044756110254181095,0.21684144644481584,0.04684332607630039,0.2912168787930823,0.06271658450695364,0.23240506329113925,0.050057489782128844,0.8793181818181818,0.011418051533709509
logistic,Table 2,LLM Engineered + Reasoning,set_06,B,,oof,4400,0.22601304201230046,0.022428195515990193,0.6615458867179475,0.032355554131282015,0.17506004037297412,0.01925649287689401,0.25040700309816394,0.026375639407587925,0.16677215189873418,0.030805300059842926,0.8797727272727272,0.0068710074808322665
