family_id,family_label,family_display_label,requested_n_components,actual_n_components,component_index,component_name,original_feature,weight_mean,weight_std,abs_weight_mean,weight_sign_flip_rate,loading_mean,loading_std,abs_loading_mean,loading_sign_flip_rate
reasoning_A,A,HQ + A,3,3,3,A_pls_3,A_ownership_signal,-0.3396397072025343,0.34108594231720285,0.47098311030033096,0.125,-0.27083048109902674,0.2962486606999862,0.39250632316896467,0.14583333333333334
reasoning_A,A,HQ + A,3,3,3,A_pls_3,A_scrappiness,-0.1251242568317045,0.19316487940435526,0.21404903611706727,0.14583333333333334,-0.22186697750336767,0.24924618806693555,0.32453723961066544,0.125
reasoning_A,A,HQ + A,3,3,3,A_pls_3,A_trajectory_strength,0.19537505271501832,0.14759376628155244,0.23217731106394154,0.08333333333333333,0.25362943501473856,0.1689760340157289,0.2956746893478585,0.10416666666666667
reasoning_B,B,HQ + B,1,1,1,B_pls_1,B_evidence_support_rating,0.758333814609878,0.3955339443263754,0.8179419024481124,0.10416666666666667,0.9679573473200103,0.32545467337286743,0.9679573473200103,0.0
reasoning_B,B,HQ + B,1,1,1,B_pls_1,B_rubric_score,0.3390244103703204,0.3918484065016513,0.4564427507226709,0.20833333333333334,0.9474375725912901,0.34178133239748976,0.9474375725912901,0.0
reasoning_B,B,HQ + B,2,2,1,B_pls_1,B_evidence_support_rating,0.758333814609878,0.3955339443263754,0.8179419024481124,0.10416666666666667,0.9679573473200103,0.32545467337286743,0.9679573473200103,0.0
reasoning_B,B,HQ + B,2,2,1,B_pls_1,B_rubric_score,0.3390244103703204,0.3918484065016513,0.4564427507226709,0.20833333333333334,0.9474375725912901,0.34178133239748976,0.9474375725912901,0.0
reasoning_B,B,HQ + B,2,2,2,B_pls_2,B_evidence_support_rating,-0.06478552187199525,0.5140871138830408,0.4564427507226658,0.3541666666666667,-0.06478552187200382,0.5140871138830629,0.4564427507226863,0.3541666666666667
reasoning_B,B,HQ + B,2,2,2,B_pls_2,B_rubric_score,0.8015376674879361,0.298420245782915,0.8179419024481055,0.041666666666666664,0.8015376674879692,0.2984202457829266,0.8179419024481392,0.041666666666666664
reasoning_C,C,HQ + C,2,2,1,C_pls_1,C_evidence_support_rating,0.2587494865097482,0.3615517016736814,0.3997529750814639,0.2708333333333333,0.26133083521497574,0.8418633388624954,0.8555813502795023,0.3541666666666667
reasoning_C,C,HQ + C,2,2,1,C_pls_1,C_latent_risk,0.414414858139694,0.42233169995396774,0.4729330447060005,0.20833333333333334,-0.04161474602110556,0.8958480301304468,0.8370481445697706,0.3541666666666667
reasoning_C,C,HQ + C,2,2,1,C_pls_1,C_latent_strength,0.5662389145858077,0.3627655198933942,0.6173059124989602,0.125,0.3083680137912089,0.8283585050325228,0.8509565135115483,0.3541666666666667
reasoning_C,C,HQ + C,2,2,2,C_pls_2,C_evidence_support_rating,-0.015884265285139653,0.4270359005789912,0.390036316878172,0.375,0.06725511207836925,0.41884266546047033,0.36236280713618246,0.4166666666666667
reasoning_C,C,HQ + C,2,2,2,C_pls_2,C_latent_risk,0.5655363680621266,0.49757032345443725,0.6859946381403891,0.20833333333333334,0.5989853667729907,0.5031707678604901,0.7105910075507177,0.20833333333333334
reasoning_C,C,HQ + C,2,2,2,C_pls_2,C_latent_strength,0.2763201453737401,0.41668644879597533,0.40845542324632556,0.2708333333333333,0.2255710671720252,0.4139790599184826,0.37900991434568265,0.2916666666666667
reasoning_D,D,HQ + D,1,1,1,D_pls_1,D_evidence_support_rating,0.32224762385606215,0.17531966301726676,0.3401613791180765,0.041666666666666664,0.775370595358187,0.08081884230791016,0.775370595358187,0.0
reasoning_D,D,HQ + D,1,1,1,D_pls_1,D_overall_founder_quality,0.92902366469333,0.04831682024305768,0.92902366469333,0.0,0.8180846629471338,0.11439245152402099,0.8180846629471338,0.0
reasoning_D,D,HQ + D,2,2,1,D_pls_1,D_evidence_support_rating,0.32224762385606215,0.17531966301726676,0.3401613791180765,0.041666666666666664,0.775370595358187,0.08081884230791016,0.775370595358187,0.0
reasoning_D,D,HQ + D,2,2,1,D_pls_1,D_overall_founder_quality,0.92902366469333,0.04831682024305768,0.92902366469333,0.0,0.8180846629471338,0.11439245152402099,0.8180846629471338,0.0
reasoning_D,D,HQ + D,2,2,2,D_pls_2,D_evidence_support_rating,0.9290236646933249,0.04831682024305996,0.9290236646933249,0.0,0.9290236646933433,0.048316820243057924,0.9290236646933433,0.0
reasoning_D,D,HQ + D,2,2,2,D_pls_2,D_overall_founder_quality,-0.3222476238560595,0.17531966301726556,0.340161379118074,0.041666666666666664,-0.3222476238560664,0.17531966301726926,0.34016137911808114,0.041666666666666664
reasoning_E,E,HQ + E,1,1,1,E_pls_1,E_evidence_support_rating,0.32939858227130236,0.4724622447372733,0.5347015995814365,0.25,0.2909911778029859,0.6177082187574637,0.6692071598356831,0.2916666666666667
reasoning_E,E,HQ + E,1,1,1,E_pls_1,E_hidden_risk,0.11120213950593001,0.5648709654548033,0.5095204029847187,0.4583333333333333,-0.11983360928315741,0.6005537752151644,0.5963833470400107,0.3333333333333333
reasoning_E,E,HQ + E,1,1,1,E_pls_1,E_hidden_upside,0.3399104630290763,0.4704165759986178,0.5393745407759888,0.25,0.2939795879374936,0.6115537798939363,0.6655881206035105,0.2916666666666667
reasoning_F,F,HQ + F,2,2,1,F_pls_1,F_career_coherence,0.19499044570567634,0.5107031345165234,0.5234163036113509,0.4166666666666667,0.26441908022828237,0.7137383205585434,0.7029661335992176,0.22916666666666666
reasoning_F,F,HQ + F,2,2,1,F_pls_1,F_evidence_support_rating,0.176784450615628,0.5658624841768196,0.5112187661405897,0.4583333333333333,0.42502844718013444,0.589840010815965,0.6560645863124387,0.16666666666666666
reasoning_F,F,HQ + F,2,2,1,F_pls_1,F_ownership_signal,0.1675977463730407,0.19236215393197867,0.23080253339532453,0.25,0.2757790709116313,0.7082848101225255,0.702006685378256,0.20833333333333334
reasoning_F,F,HQ + F,2,2,1,F_pls_1,F_rubric_score,0.18122402503389534,0.28567693594229904,0.3177976691828284,0.3333333333333333,0.26931820838730364,0.7173518396511211,0.7073113663879496,0.22916666666666666
reasoning_F,F,HQ + F,2,2,1,F_pls_1,F_scrappiness,0.19635163271131126,0.17517508223536166,0.23757341580497218,0.20833333333333334,0.28481496661416544,0.6771840954467537,0.6808020829450047,0.20833333333333334
reasoning_F,F,HQ + F,2,2,1,F_pls_1,F_trajectory_strength,0.17751912667718975,0.2634558145608572,0.2950004458373979,0.3333333333333333,0.26649713478595705,0.7175566251415242,0.7068571060603245,0.22916666666666666
