model_type,table,regression,set_id,reasoning_combo,variant,threshold_tuning,dataset_size,F0.5_mean,F0.5_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std,Prec_mean,Prec_std,Rec_mean,Rec_std,Acc_mean,Acc_std
logistic,Table 1,Human + Reasoning,,A+E,,train,4400,0.2633583829066431,0.06655291043779937,0.7167560546597211,0.04538570241600468,0.22780251810707539,0.04570404991080591,0.28155094190375907,0.0522961852571324,0.23006329113924048,0.12205347907588097,0.8813636363636362,0.006038786479812004
logistic,Table 1,Reasoning Only,,B+E,,train,4400,0.12741186918592945,0.020435029293137133,0.5210215904713648,0.025015091256806902,0.10296595868711586,0.010776476207347866,0.11336798602608922,0.014994083432055123,0.28056962025316456,0.12475831466235605,0.7454545454545454,0.05037052791707297
logistic,Table 1,Human + Reasoning,,B+E,,train,4400,0.20543521194560616,0.04778720150537566,0.6806709232130723,0.03478935762952228,0.181830224467667,0.017685957542973852,0.21412394507047283,0.04635566624056629,0.18411392405063293,0.06384328774555578,0.8668181818181818,0.011664206745778507
logistic,Table 1,Reasoning Only,,A+B+E,,train,4400,0.1786339337017097,0.07404388422830799,0.6126146419280093,0.05237439293959078,0.16807341315722898,0.04285006486877514,0.22806060606060602,0.08949970117581481,0.12392405063291138,0.10581279100044849,0.885,0.016044875086111625
logistic,Table 1,Human + Reasoning,,A+B+E,,train,4400,0.246223993746744,0.06905591016270397,0.7110440453438345,0.04430895348411537,0.22509783632206828,0.046114268795263404,0.2642401647127498,0.05164145485547407,0.21740506329113923,0.12410390228001708,0.8795454545454545,0.007078368864726126
logistic,Table 2,LLM Engineered Only,set_01,,,train,4400,0.21947779859235567,0.027301320652245897,0.676484850794695,0.024376348535904414,0.17907971295181555,0.008696544742312684,0.22452361986138253,0.027297099833839985,0.20949367088607596,0.04583257465881436,0.8631818181818183,0.013647722541820409
logistic,Table 2,LLM Engineered + Reasoning,set_01,A,,train,4400,0.26378131814483863,0.0370685010743256,0.7051742947403562,0.038584142315020484,0.21172415024714883,0.034608836715221955,0.29414974526357635,0.029166897397289726,0.21481012658227847,0.11539389360352051,0.8831818181818182,0.013529887332852018
logistic,Table 2,LLM Engineered + Reasoning,set_01,B,,train,4400,0.21822883815537786,0.017211854950467953,0.6684642314442785,0.021601241381242385,0.17652189515333722,0.008342143078059291,0.2204914880154049,0.017466508858014047,0.2249050632911392,0.05783608578092556,0.8577272727272727,0.015915583090919637
logistic,Table 2,LLM Engineered + Reasoning,set_01,E,,train,4400,0.21323257112475408,0.025916340246438227,0.6823341990431264,0.03592354607810282,0.18341624666375794,0.010398285986143063,0.22474013182643954,0.02164247332902042,0.1970886075949367,0.07211813556024885,0.8656818181818181,0.020000000000000007
logistic,Table 2,LLM Engineered + Reasoning,set_01,A+B,,train,4400,0.2511468441262428,0.030831659310537773,0.7006097604458035,0.03562686663973076,0.21322211119234913,0.03513230947321153,0.26061349024735747,0.021524875647575364,0.23753164556962023,0.08705778450715562,0.8715909090909092,0.01082829931779236
logistic,Table 2,LLM Engineered + Reasoning,set_01,A+E,,train,4400,0.28690386735495016,0.03640670038824338,0.7181497125823733,0.041396190587406616,0.2201913768990426,0.0415967232275281,0.3084430853068314,0.03030306629152161,0.2299367088607595,0.056124503938270454,0.8847727272727273,0.004853217387286953
logistic,Table 2,LLM Engineered + Reasoning,set_01,B+E,,train,4400,0.20199871941802075,0.02436621049378587,0.673178012724403,0.03308175659801338,0.17918871047132384,0.009031651710402147,0.20454130733658293,0.019184253374644487,0.21477848101265823,0.07452700285656795,0.8538636363636364,0.021363636363636376
logistic,Table 2,LLM Engineered + Reasoning,set_01,A+B+E,,train,4400,0.2635767408570596,0.032527152465761607,0.7114126373382165,0.04017590417934859,0.2151299527714924,0.041292160608388084,0.2909627088010618,0.028460164313631093,0.19455696202531647,0.041690753065917775,0.8852272727272726,0.003734471982989751
logistic,Table 2,LLM Engineered Only,set_02,,,train,4400,0.18707841638339676,0.03075377797250352,0.6361615575714297,0.02771987284280871,0.16744179801084957,0.01673348237570885,0.20202660085252866,0.04039378113737323,0.15408227848101266,0.04353588563020342,0.8677272727272728,0.013380169117759133
logistic,Table 2,LLM Engineered + Reasoning,set_02,A,,train,4400,0.25429182745205103,0.04552209086672065,0.6683734454015156,0.04305429658136474,0.20302610608789026,0.032448216394305174,0.2731975341731439,0.04045293601185279,0.20952531645569614,0.06506504578237868,0.8793181818181818,0.009243045185301264
logistic,Table 2,LLM Engineered + Reasoning,set_02,B,,train,4400,0.1671490986302302,0.009882646293835668,0.624647015745745,0.02955971075575309,0.1616973699352223,0.01967673767704297,0.17605019714219208,0.014517203268861684,0.1464240506329114,0.029287389123525666,0.8602272727272726,0.014920588692881695
logistic,Table 2,LLM Engineered + Reasoning,set_02,E,,train,4400,0.2022564656121756,0.014489288291849834,0.6429045498407844,0.047296884610074245,0.16949785566637604,0.02336452633903912,0.21158420789605198,0.03286605699279001,0.1970253164556962,0.05363997796438649,0.8563636363636362,0.02646141741423252
logistic,Table 2,LLM Engineered + Reasoning,set_02,A+B,,train,4400,0.21846246948393824,0.029115006861980368,0.6607462439158331,0.03851976059190122,0.1995349994649898,0.02940474208135019,0.2512198334490918,0.03163656033536585,0.15661392405063293,0.05592591438121598,0.8815909090909091,0.011349991808348878
