table,regression,set_id,reasoning_combo,variant,tuning,F0.5,F0.5_std,ROC-AUC,ROC-AUC_std,PR-AUC,PR-AUC_std,Prec,Prec_std,Rec,Rec_std,Acc,Acc_std
Table 2,LLM Engineered + Reasoning,set_08,A+E,,oof,0.2735252004766201,0.03188950854018578,0.7115327195090393,0.036895998764302315,0.2248118297116244,0.03554702707664882,0.2803866462183636,0.029460525598976498,0.25,0.039525303787331635,0.8752272727272727,0.002530801983104587
Table 2,LLM Engineered + Reasoning,set_08,B+E,,oof,0.2427146761168022,0.010820257850794282,0.6695168896622496,0.04004008981834712,0.18078475869364946,0.017630548863396055,0.2631148347727664,0.014007335522701357,0.18693037974683546,0.017361741251538422,0.8795454545454545,0.003593497341100428
Table 2,LLM Engineered + Reasoning,set_08,A+B+E,,oof,0.2690026746329654,0.022384871022533382,0.7075911545496927,0.03568562125128368,0.22111172326561332,0.034198256486422926,0.27768568392994797,0.02039704143782683,0.239873417721519,0.029713150871659495,0.8756818181818182,0.0021076405671580914
Table 2,LLM Engineered Only,set_09,,,oof,0.2222286398501721,0.03054619039774694,0.659608161376602,0.03140681545186711,0.17642346432105765,0.024882510830788348,0.29228184096605153,0.06065697611337843,0.11613924050632911,0.009149893857468965,0.8938636363636364,0.006610472532840482
Table 2,LLM Engineered + Reasoning,set_09,A,,oof,0.27890077577662015,0.043038812214964646,0.6990984067828584,0.018607500044600704,0.2208846314529549,0.03188363968518531,0.278176307306125,0.0472352231712705,0.28528481012658224,0.03745557642188059,0.8679545454545454,0.01157530143476987
Table 2,LLM Engineered + Reasoning,set_09,B,,oof,0.2148317247261473,0.023100899196254687,0.6549984800941071,0.0345283858099036,0.1720876899829212,0.027299853412366997,0.2809844288105158,0.04890599720039556,0.11360759493670887,0.010980602261327516,0.8929545454545454,0.006199173498629909
Table 2,LLM Engineered + Reasoning,set_09,E,,oof,0.21914123401907482,0.03106534469173075,0.6662327627698368,0.04333576997101631,0.17723536390908187,0.029725617244218013,0.22009107753078694,0.02986135690729989,0.21702531645569625,0.0393100649317081,0.8604545454545454,0.007092948424694215
Table 2,LLM Engineered + Reasoning,set_09,A+B,,oof,0.2729866063529093,0.04673741881418361,0.6958670304820715,0.016755582380819777,0.21860074918242253,0.03489064808786184,0.2814779498670344,0.049623075359007084,0.2448101265822785,0.0402332567601396,0.8754545454545454,0.008761061485180164
Table 2,LLM Engineered + Reasoning,set_09,A+E,,oof,0.28960292889347194,0.039541791634305844,0.70368838003129,0.02965568003378884,0.2236137308425556,0.03562422796701527,0.3094026205966504,0.044115729396176834,0.23234177215189872,0.033691104617743294,0.8838636363636363,0.00741341201377277
Table 2,LLM Engineered + Reasoning,set_09,B+E,,oof,0.22173454056579395,0.028708572331168712,0.6625699940442327,0.04232603446794377,0.1745662923754931,0.029964836402349957,0.21644040170355958,0.028809486812664677,0.24734177215189873,0.032337746535363567,0.8511363636363637,0.00977536962163933
Table 2,LLM Engineered + Reasoning,set_09,A+B+E,,oof,0.2937046611461436,0.04464918609096457,0.7016481113649473,0.026661986746373104,0.22133957270414015,0.035032704372016485,0.31391731075941604,0.05134607211864167,0.23477848101265825,0.029952226555983306,0.8843181818181819,0.00857634648368782
Table 2,LLM Engineered Only,set_10,,,oof,0.2126954396442291,0.02126967481489983,0.6482202991908848,0.028924460770938114,0.16822408908930997,0.021451598526509557,0.19658119896894927,0.021027135525786965,0.31813291139240507,0.023800245596090504,0.8206818181818182,0.012268517796605243
Table 2,LLM Engineered + Reasoning,set_10,A,,oof,0.2511220556736649,0.03634465428690133,0.6957387505382907,0.021389722756811624,0.20232573644727073,0.025824333376329157,0.2686486000458038,0.03355180417967613,0.2020253164556962,0.04458572144354696,0.8793181818181818,0.003622131238752094
Table 2,LLM Engineered + Reasoning,set_10,B,,oof,0.21280850257322462,0.017593909489590914,0.6448344659908896,0.03227999643896706,0.17008210256609874,0.024991380627327652,0.19357951077810132,0.018075708785388573,0.35604430379746843,0.008631992601168287,0.8070454545454545,0.01628453101606625
Table 2,LLM Engineered + Reasoning,set_10,E,,oof,0.22334884114673903,0.039129792104926266,0.6560426009221069,0.043673114477426236,0.1768600219677055,0.03224373180401737,0.2176052931332705,0.03777626393197465,0.2499367088607595,0.04586769601336115,0.8518181818181818,0.007279826080930424
Table 2,LLM Engineered + Reasoning,set_10,A+B,,oof,0.2476092270389268,0.04276915727810377,0.693712640622284,0.02008529179092294,0.20225938403218996,0.02514128455305154,0.2661128209574176,0.04163021636667423,0.19696202531645568,0.0483908670459559,0.8795454545454546,0.00443036106582223
Table 2,LLM Engineered + Reasoning,set_10,A+E,,oof,0.24833968967350853,0.0484876205972519,0.6996026900956479,0.03176418654963499,0.20836198304870152,0.027243332059780405,0.284063642406115,0.04735411880586112,0.16920886075949368,0.04913973124661209,0.8877272727272727,0.0033247133723472134
Table 2,LLM Engineered + Reasoning,set_10,B+E,,oof,0.21636726066886433,0.0390341055494864,0.6502664003115172,0.03985881686046582,0.17440356403852966,0.031260589175622196,0.21384697334552608,0.03860391525289665,0.22721518987341768,0.04123163917696792,0.8552272727272727,0.007660136157433058
