track,feature_set_id,feature_set_label,route_group,grouping_spec_id,grouping_spec_label,evaluator_model,original_feature_count,grouped_feature_count,final_model_feature_count,outer_split_count,outer_f0_5_mean,outer_f0_5_std,precision_mean,precision_std,recall_mean,recall_std,pr_auc_mean,pr_auc_std,threshold_mean,threshold_std
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,raw_comparison,per_family_2,2 groups per family,xgb1,15,15,44,48,0.30219875389931516,0.030368419161807117,0.304157917041872,0.02715401368800119,0.30539772727272724,0.0704442985991015,0.2341830360581277,0.020270913215356713,0.7075000000000001,0.0349702254305955
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,raw_comparison,per_family_3,3 groups per family,logistic,15,15,44,48,0.30419426791612975,0.031190207076179668,0.308971541764888,0.029837481991074288,0.29640151515151514,0.06294084272100561,0.23422184569804916,0.021077072738499437,0.268125,0.04437793417529332
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,raw_comparison,per_family_3,3 groups per family,xgb1,15,15,44,48,0.30219875389931516,0.030368419161807117,0.304157917041872,0.02715401368800119,0.30539772727272724,0.0704442985991015,0.2341830360581277,0.020270913215356713,0.7075000000000001,0.0349702254305955
augmentation,hq_plus_b_c_d_e_f,HQ + B+C+D+E+F,grouped_route,per_family_2,2 groups per family,logistic,16,10,39,48,0.24729092075473605,0.04069794832915007,0.2685969481327067,0.04170781191180211,0.19917929292929293,0.05785994319896142,0.18704448634273965,0.01772578492025446,0.24645833333333336,0.04090077338986256
augmentation,hq_plus_b_c_d_e_f,HQ + B+C+D+E+F,grouped_route,per_family_2,2 groups per family,xgb1,16,10,39,48,0.220818707328861,0.039657373368975866,0.23624938372729334,0.04167489903698394,0.19618055555555558,0.07232170003905203,0.17867670890765142,0.01836974148278931,0.6877083333333335,0.05568660758107727
augmentation,hq_plus_b_c_d_e_f,HQ + B+C+D+E+F,grouped_route,per_family_3,3 groups per family,logistic,16,13,42,48,0.2448530782582079,0.03959250777549402,0.26939503060997166,0.0401248419305666,0.18955176767676765,0.05807716247616641,0.18702914663215106,0.01770184712343458,0.25583333333333336,0.040405926408002196
augmentation,hq_plus_b_c_d_e_f,HQ + B+C+D+E+F,grouped_route,per_family_3,3 groups per family,xgb1,16,13,42,48,0.21714285553341375,0.03727095408302496,0.23105875425576142,0.037180492909623615,0.1991792929292929,0.07497956456452307,0.1782402471038648,0.01777206726476544,0.6866666666666669,0.05792715732327592
augmentation,hq_plus_b_c_d_e_f,HQ + B+C+D+E+F,raw_comparison,per_family_2,2 groups per family,logistic,16,16,45,48,0.2516951254696543,0.044849622240227247,0.27411424400701495,0.047701459688281656,0.19965277777777776,0.057539395401752035,0.19042584097192794,0.01759353767600312,0.2579166666666667,0.043251123941722286
augmentation,hq_plus_b_c_d_e_f,HQ + B+C+D+E+F,raw_comparison,per_family_2,2 groups per family,xgb1,16,16,45,48,0.21467309149717914,0.03460787666553063,0.2319734048241989,0.03257663527366291,0.18892045454545456,0.07800342545460603,0.17796118735702002,0.01791786981101466,0.6943750000000001,0.059683409545702094
augmentation,hq_plus_b_c_d_e_f,HQ + B+C+D+E+F,raw_comparison,per_family_3,3 groups per family,logistic,16,16,45,48,0.2516951254696543,0.044849622240227247,0.27411424400701495,0.047701459688281656,0.19965277777777776,0.057539395401752035,0.19042584097192794,0.01759353767600312,0.2579166666666667,0.043251123941722286
augmentation,hq_plus_b_c_d_e_f,HQ + B+C+D+E+F,raw_comparison,per_family_3,3 groups per family,xgb1,16,16,45,48,0.21467309149717914,0.03460787666553063,0.2319734048241989,0.03257663527366291,0.18892045454545456,0.07800342545460603,0.17796118735702002,0.01791786981101466,0.6943750000000001,0.059683409545702094
augmentation,hq_plus_f,HQ + F,grouped_route,per_family_2,2 groups per family,logistic,6,2,31,48,0.22752075796829488,0.037960268803154444,0.2487238672195474,0.038609230415783534,0.17881944444444445,0.049719416262377664,0.1744039790990787,0.017830455684245596,0.22937500000000002,0.05010016009621793
augmentation,hq_plus_f,HQ + F,grouped_route,per_family_2,2 groups per family,xgb1,6,2,31,48,0.20711312520558814,0.0369771305062072,0.22745527510177435,0.03918195044949044,0.17629419191919193,0.074351528767441,0.17389593271024162,0.018309394900484912,0.7033333333333335,0.059976847384821966
augmentation,hq_plus_f,HQ + F,grouped_route,per_family_3,3 groups per family,logistic,6,3,32,48,0.2270899383753131,0.040753403652527144,0.24759925140064856,0.03977908000634383,0.18071338383838384,0.0535907787794147,0.17432958320723813,0.01770552080620443,0.23104166666666667,0.05723633691885681
augmentation,hq_plus_f,HQ + F,grouped_route,per_family_3,3 groups per family,xgb1,6,3,32,48,0.20894715405762812,0.03696133586991967,0.22894132181890683,0.04059379907050561,0.18213383838383837,0.07814970658206838,0.17375138699752324,0.018055814269260305,0.7012500000000003,0.06482749545267555
augmentation,hq_plus_f,HQ + F,raw_comparison,per_family_2,2 groups per family,logistic,6,6,35,48,0.22740705954201065,0.0432999620231794,0.2453461775077944,0.042271657859312015,0.1873421717171717,0.05843121918293388,0.1777579490155392,0.01759157744512178,0.230625,0.055242128021405316
augmentation,hq_plus_f,HQ + F,raw_comparison,per_family_2,2 groups per family,xgb1,6,6,35,48,0.20571595282804087,0.03646633430807328,0.22630511826705138,0.03725765512635458,0.18213383838383837,0.08769516601491459,0.1732068418544792,0.01797900150292517,0.7045833333333335,0.06999875990965049
augmentation,hq_plus_f,HQ + F,raw_comparison,per_family_3,3 groups per family,logistic,6,6,35,48,0.22740705954201065,0.0432999620231794,0.2453461775077944,0.042271657859312015,0.1873421717171717,0.05843121918293388,0.1777579490155392,0.01759157744512178,0.230625,0.055242128021405316
augmentation,hq_plus_f,HQ + F,raw_comparison,per_family_3,3 groups per family,xgb1,6,6,35,48,0.20571595282804087,0.03646633430807328,0.22630511826705138,0.03725765512635458,0.18213383838383837,0.08769516601491459,0.1732068418544792,0.01797900150292517,0.7045833333333335,0.06999875990965049
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,29,29,29,48,0.20735464443219734,0.0459342387157509,0.23480061864168866,0.0525895416146391,0.15482954545454544,0.054933085538539636,0.16746811044565013,0.016568311917674255,0.23729166666666668,0.06030269422302421
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,29,29,29,48,0.2040727725246931,0.032775987559311215,0.22465803190424385,0.03721483669950407,0.18371212121212122,0.09113896651950272,0.1707750430550783,0.017513983464998422,0.7022916666666669,0.06776920340800502
competition,hq_only,HQ,grouped_route,total_groups_6,6 total groups,logistic,29,6,6,48,0.20607756552301704,0.037705642905023894,0.22898080446383728,0.043642148854401146,0.16445707070707072,0.06370243558698768,0.16646462999215597,0.01750833437005472,0.1897916666666667,0.048882920642649375
competition,hq_only,HQ,grouped_route,total_groups_6,6 total groups,xgb1,29,6,6,48,0.197360682132119,0.04086856101625053,0.22657107349948324,0.048347555198252054,0.15119949494949494,0.06626006511241256,0.16311735385556392,0.018430274780630158,0.7145833333333336,0.05930002576353197
competition,hq_only,HQ,raw_comparison,total_groups_6,6 total groups,logistic,29,29,29,48,0.20735464443219734,0.0459342387157509,0.23480061864168866,0.0525895416146391,0.15482954545454544,0.054933085538539636,0.16746811044565013,0.016568311917674255,0.23729166666666668,0.06030269422302421
competition,hq_only,HQ,raw_comparison,total_groups_6,6 total groups,xgb1,29,29,29,48,0.2040727725246931,0.032775987559311215,0.22465803190424385,0.03721483669950407,0.18371212121212122,0.09113896651950272,0.1707750430550783,0.017513983464998422,0.7022916666666669,0.06776920340800502
competition,hq_plus_a,HQ + A,grouped_route,total_groups_6,6 total groups,logistic,34,6,6,48,0.29978409236410775,0.03919722626561382,0.3162376808184764,0.042627569276119416,0.25410353535353536,0.0490223894525344,0.21355042941582503,0.021673987186663243,0.22520833333333337,0.032014943342480284
competition,hq_plus_a,HQ + A,grouped_route,total_groups_6,6 total groups,xgb1,34,6,6,48,0.2991091325602298,0.034767214546321056,0.31277629207165564,0.04058983895748783,0.26341540404040403,0.053551720134385944,0.22007454083784483,0.022576892035469698,0.7570833333333337,0.03047938738812765
competition,hq_plus_a,HQ + A,raw_comparison,total_groups_6,6 total groups,logistic,34,34,34,48,0.3016408657217324,0.0352495156168288,0.3121022919637131,0.03639174506667475,0.27320075757575757,0.05463845558700641,0.22582390035965028,0.019902113235739243,0.2685416666666667,0.03384951891172983
competition,hq_plus_a,HQ + A,raw_comparison,total_groups_6,6 total groups,xgb1,34,34,34,48,0.2981191499234462,0.03327367363210374,0.3006081478563131,0.03411567466216025,0.30303030303030304,0.07258179367994835,0.23429335134443321,0.019969470052298693,0.7112500000000002,0.041110876500832096
competition,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,grouped_route,total_groups_6,6 total groups,logistic,44,6,6,48,0.26680288315001,0.04844238105655416,0.2753759995271108,0.051981999666927126,0.2503156565656565,0.06640426891134361,0.19780464479240567,0.0273388527775674,0.19791666666666666,0.03851181276208927
competition,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,grouped_route,total_groups_6,6 total groups,xgb1,44,6,6,48,0.2816440414667884,0.04301157137477204,0.2955347185474145,0.043573165231832196,0.24668560606060605,0.0662771681462437,0.20604888678227518,0.02585198283070769,0.7435416666666669,0.03369530032347076
competition,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,raw_comparison,total_groups_6,6 total groups,logistic,44,44,44,48,0.30419426791612975,0.031190207076179668,0.308971541764888,0.029837481991074288,0.29640151515151514,0.06294084272100561,0.23422184569804916,0.021077072738499437,0.268125,0.04437793417529332
competition,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,raw_comparison,total_groups_6,6 total groups,xgb1,44,44,44,48,0.30219875389931516,0.030368419161807117,0.304157917041872,0.02715401368800119,0.30539772727272724,0.0704442985991015,0.2341830360581277,0.020270913215356713,0.7075000000000001,0.0349702254305955
competition,hq_plus_b_c_d_e_f,HQ + B+C+D+E+F,grouped_route,total_groups_6,6 total groups,logistic,45,6,6,48,0.21395323750759232,0.02749536972586943,0.2281055000453427,0.033171861941202224,0.18513257575757577,0.057506484318173755,0.16812124794048508,0.0180815992905187,0.181875,0.027887889396653886
competition,hq_plus_b_c_d_e_f,HQ + B+C+D+E+F,grouped_route,total_groups_6,6 total groups,xgb1,45,6,6,48,0.21765529237329803,0.03776045600324522,0.23746446441401145,0.04411400412369424,0.17597853535353533,0.054569114522847746,0.16816394714434066,0.020022585805282257,0.7089583333333335,0.04042686726945615
competition,hq_plus_b_c_d_e_f,HQ + B+C+D+E+F,raw_comparison,total_groups_6,6 total groups,logistic,45,45,45,48,0.2516951254696543,0.044849622240227247,0.27411424400701495,0.047701459688281656,0.19965277777777776,0.057539395401752035,0.19042584097192794,0.01759353767600312,0.2579166666666667,0.043251123941722286
competition,hq_plus_b_c_d_e_f,HQ + B+C+D+E+F,raw_comparison,total_groups_6,6 total groups,xgb1,45,45,45,48,0.21467309149717914,0.03460787666553063,0.2319734048241989,0.03257663527366291,0.18892045454545456,0.07800342545460603,0.17796118735702002,0.01791786981101466,0.6943750000000001,0.059683409545702094
competition,hq_plus_f,HQ + F,grouped_route,total_groups_6,6 total groups,logistic,35,6,6,48,0.20939477663577355,0.041099525092517394,0.22675002202116268,0.04314290250528005,0.17566287878787876,0.06545574833613425,0.16781147680135586,0.018354738866139003,0.18833333333333335,0.04883361774661204
competition,hq_plus_f,HQ + F,grouped_route,total_groups_6,6 total groups,xgb1,35,6,6,48,0.20617064984786881,0.0412468578249052,0.22539889790475143,0.04860411931288114,0.17503156565656566,0.06804559173280383,0.1701359483315628,0.01971361872547367,0.7025000000000001,0.05629165124598854
competition,hq_plus_f,HQ + F,raw_comparison,total_groups_6,6 total groups,logistic,35,35,35,48,0.22740705954201065,0.0432999620231794,0.2453461775077944,0.042271657859312015,0.1873421717171717,0.05843121918293388,0.1777579490155392,0.01759157744512178,0.230625,0.055242128021405316
competition,hq_plus_f,HQ + F,raw_comparison,total_groups_6,6 total groups,xgb1,35,35,35,48,0.20571595282804087,0.03646633430807328,0.22630511826705138,0.03725765512635458,0.18213383838383837,0.08769516601491459,0.1732068418544792,0.01797900150292517,0.7045833333333335,0.06999875990965049
